"","Страны","Экспорт.2014","Экспорт.2015","Экспорт.2016","Импорт.2014","Импорт.2015","Импорт.2016"
"1","Абхазия",1118.4,1146.2,1320.9,29.8,NA,NA
"2","Австралия",NA,NA,205,464.4,"250.0",502.3
"3","Австрия",926,937.5,620.3,70823.8,"55061.8",64480
"4","Албания",1540.3,NA,NA,26.4,NA,2
"5","Алжир",NA,61.6,6038.1,NA,"1.0",NA
"6","Американское Самоа",NA,NA,NA,NA,NA,3.4
"7","Ангола",671.5,406.2,829.8,NA,"7.2",NA
"8","Аргентина",4237.3,1020,NA,2006.9,"2635.4",133
"9","Афганистан",535500.5,2405.5,960.9,NA,NA,1.8
"10","Багамы",NA,NA,NA,30.2,"14.1",5.7
"11","Бангладеш",305.4,1.7,2.4,40.4,"3.4",99.2
"12","Бахрейн",224.3,48.5,NA,NA,NA,NA
"13","Белиз",NA,3.3,NA,NA,NA,NA
"14","Бельгия",357697.1,255465.9,127638.1,137958.3,"64206.6",68831.9
"15","Болгария",71521.2,83772.4,151958.7,38532.1,"6376.0",3813.3
"16","государство",43.3,130.5,298.7,NA,NA,NA
"17","Герцеговина",370953.1,114424.3,386.9,2.5,"62.1",14.5
"18","Ботсвана",6.7,1.5,NA,NA,NA,NA
"19","Бразилия",31414,92615.9,73480.1,16445.1,"12695.6",4789.3
"20","Индийском океане",NA,NA,NA,NA,NA,0.5
"21","Бурунди",NA,NA,NA,0.1,NA,NA
"22","Великобритания",540286,314012.6,153378.9,118043.1,"63642.0",65725.7
"23","Венгрия",599040.9,490811.8,206207.9,34747.6,"15614.6",24317.5
"24","Венесуэла",1111.4,36875.2,800,NA,NA,NA
"25","(Британские)",10.5,121,NA,NA,NA,7.1
"26","Вьетнам",7711.2,23745.2,58828.3,1094,"1140.7",827.1
"27","Гайана",338.2,98.8,157.8,NA,"0.3",NA
"28","Гамбия",10,27.1,NA,NA,NA,NA
"29","Гана",1799.2,59.4,NA,NA,NA,NA
"30","Гватемала",74,NA,3.9,5.1,"1.7",1.8
"31","Гвинея",16.2,1252.3,NA,NA,NA,NA
"32","Германия",978326,649894.7,574043.8,897224.1,"549147.4",529030.1
"33","Гибралтар",23235.8,NA,3466.9,NA,"1.0",1.7
"34","Гондурас",NA,NA,NA,1.2,"3.6",0.6
"35","Гонконг",232.3,171,NA,387.6,"423.7",734.9
"36","Греция",315026.2,48933.6,32722.9,12768.2,"695.3",435.3
"37","Грузия",6592.3,9052.4,8984.9,7.2,"38.9",156.2
"38","Дания",297787.4,37849.5,1492.3,17227.1,"5274.7",9165.8
"39","Республика",NA,NA,3.9,1,"1.2",0.3
"40","Европейский союз",NA,NA,0,7382.1,"1596.1",194
"41","Египет",44935.2,12487,158957.6,1609.3,"1065.3",955.5
"42","Замбия",365.7,7.4,12,NA,NA,NA
"43","Зимбабве",83.1,108.4,NA,NA,NA,NA
"44","Израиль",3357.5,888.6,2694.4,7880.2,"10150.6",9976.2
"45","Индия",621488.7,506168.4,208045.5,85088,"29926.6",36934.4
"46","Индонезия",1847.8,895.3,498.2,38417.9,"25552.8",23549.4
"47","Иордания",NA,2066.1,1667.5,NA,NA,NA
"48","Ирак",137.4,211.3,NA,13.3,NA,NA
"49","Иран",2174.8,4765.3,9703.6,5244.8,"3747.2",3592
"50","Ирландия",3610.5,17.6,12.6,735,"1129.8",130.3
"51","Исландия",12.6,NA,11.2,NA,NA,NA
"52","Испания",24793.9,164692.6,28052.3,118769.2,"73847.0",79093.1
"53","Италия",1688454.4,468166.1,162808.1,216559.3,"133038.9",99358.2
"54","Камбоджа",77.1,56.7,380.9,7.5,"0.8",7.5
"55","Камерун",1.5,1.7,4.9,NA,"0.0",NA
"56","Канада",41489.9,15193.6,26564.8,60036,"102260.6",20562.2
"57","Катар",NA,23,NA,1951.3,"688.8",6238.1
"58","Кения",72.7,92.7,378.9,NA,"3.0",3
"59","Кипр",34528.4,35.3,12405.1,159.8,"197.9",NA
"60","Китай",164132,66188.7,120997.6,348561.4,"198081.9",251529.6
"61","Колумбия",3673.4,51.2,6.6,NA,"10.1",NA
"62","Конго",NA,3,47.9,NA,NA,NA
